service_id,game_id,name,description,price_per_unit,sale_price,icon_url,category,game_name
17,,Precipial,"Buy Precipial Void Shotgun from Destiny 2 Edge of Fate expansion and enjoy the Skycoach’s professional boosting service. Select the desired weapon Tier, choose your god roll, and skip the RNG. Our boost delivers the weapon straight to your vault quickly and securely. What you'll get: Precipial Shotgun will be added to your account. Option to farm multiple drops or optimal perks. Chance to get other Kepler weapons. All other legendary and exotic loot that drops during the service. Experience for your Episode Pass and Artifact to level up faster. There are significant benefits to buying Precipial at the higher Tiers, so here's a breakdown: Tier 1: Base weapon that supports seasonal mods; Tier 2: Enhanced perks; Tier 3: Two perks to choose from per column; Tier 4: Enhanced weapon mods (Including seasonal); enhanced barrels and magazines; Tier 5: Enhanced origin traits; three perks to choose from per column + a unique ornament, shader, and kill effect. The Tier of an item is determined by your current Power Level and Guardian Rank. Here's which Tier drops you should expect: Power level 200 or below — Tier 1 with a chance of Tier 2 Power level 200+ and Guardian Rank 6 — Tier 2 with a chance of Tier 3 Power level 300+ and Guardian Rank 8 — Tier 3 with a chance of Tier 4 Power level 400+ and Guardian Rank 9 — Tier 4 with a chance of Tier 5 Power level 500+ and Guardian Rank 11 — guaranteed Tier 5 items",7.99,,https://skycoach.gg/storage/uploads/products/precipial1752750268_picture_item.png,Destiny 2,Destiny 2
18,,The Desert Perpetual Raid,"Buy Destiny 2 The Desert Perpetual raid boost and get some powerful weapons and gear for your character. This raid is included with The Edge of Fate expansion and presents players with significant challenges, requiring precise teamwork and optimized loadouts. With our Desert Perpetual carry service, you will get: The entire raid or the completion of the last boss A chance to get the raid exotic weapon Unique Emblem for the first completion New raid weapons & armor Experience for your Season Pass and Artifact. If you have the Map and Territory quest with the ""Convergence identified"" step, pick the ""Find 12 Vex Convergences"" option to get the Envoy's Togs shader.",24.89,,https://skycoach.gg/storage/uploads/products/the-desert-perpetual-raid1753192098_picture_item.png,Destiny 2,Destiny 2
19,,Opaque Hourglass Crossbow,"Buy Opaque Hourglass - an Arc Crossbow from Destiny 2 The Desert Perpetual raid and enjoy the Skycoach’s fast & safe boosting service. Select the desired weapon Tier and options to let the Pro players know which rolls to target farm. Our boost delivers the weapon straight to your character quickly and securely. What you'll get: The Opaque Hourglass Crossbow on your character. Option to farm multiple drops or optimal perks. Chance to get other raid weapons and armor. All other legendary and exotic loot that drops during the service. Experience for your Episode Pass and Artifact to level up faster. There are significant benefits to buying Opaque Hourglass at the higher Tiers, so here's a breakdown: Tier 1: Base weapon that supports seasonal mods; Tier 2: Enhanced perks; Tier 3: Two perks to choose from per column;",17.99,,https://skycoach.gg/storage/uploads/products/opaque-hourglass-crossbow1752839870_picture_item.png,Destiny 2,Destiny 2
20,,Flawless Desert Perpetual Raid,"Looking for a cool shader and a way to increase the raid exotic drop chance? Our Destiny 2 Desert Perpetual Flawless raid boost offers you just that, on top with some powerful weapons and gear for your character. With our Flawless Desert Perpetual carry service, you will get: The entire raid completed without any deaths A higher chance to get the raid exotic weapon The Death-Defiant Triumph The Mediant Flourish Shader Some raid weapons & armor Experience for your Season Pass and Artifact",142.99,,https://skycoach.gg/storage/uploads/products/flawless-desert-perpetual-raid1753192041_picture_item.png,Destiny 2,Destiny 2
21,,Salvation's Edge Raid,"Buy Destiny 2 Salvation's Edge Raid boost to obtain new raid weapons and gear. With our carry service, you will get: The full raid or last boss raid completion; A chance to get the Euphony Exotic Linear Fusion Rifle; Unique Emblem for the first completion; New Raid Weapons & Armor; All the loot that drops during the service; Experience for your Season Pass and Artifact.",8.89,,https://skycoach.gg/storage/uploads/products/salvations-edge-raid1718616295_picture_item.png,Destiny 2,Destiny 2
22,,Vault of Glass Raid,The Vault of Glass Raid completed on your character; A chance to obtain Rare Raid Exotic - Vex Mythoclast; Unique Vault of Glass gear; All other Legendary and Exotic loot that drops during the service; Exp for your Season Pass and Artifact.,0.99,,https://skycoach.gg/storage/uploads/products/vault-of-glass-raid1622634580_picture_item.png,Destiny 2,Destiny 2
23,,Epic Desert Perpetual Raid,"Buy the Epic Desert Perpetual raid boost — a more challenging version of the Destiny 2 Edge of Fate raid, now intensified with additional mechanics, modifiers, and unique rewards. Secure Tier-5 weapons and gear, exotic catalyst, and secret Triumphs with reliable carry support, tailored to your preferences. The Contest Mode will launch on September 20. Here's the Contest Mode rewards for the full raid clear: Exclusive Contest emblem Whirling Ovation Exotic + Catalyst Tier 5 weapons and gear What you'll get for non-Contest Epic raid clear: Full clear of the Epic Desert Perpetual Raid Optional Feats to get high-tier gear Armor with unique epic set bonuses Unique raid weapons & armor Experience for your Season Pass and Artifact Please note: without any feats, you will be getting Tier 3 raid gear, no matter your current Power level. Increase your rewards Tier by selecting multiple Feats.",439.99,,https://skycoach.gg/storage/uploads/products/epic-desert-perpetual-raid1755877453_picture_item.png,Destiny 2,Destiny 2
24,,Last Wish Raid,"Buy Destiny 2 Last Wish Raid boost to complete this raid without any problems. Choose professional assistance from Skycoach instead of grinding and effortlessly obtain all valuable raid rewards. You will get: The Last Wish Raid Completion on your Character (if you choose multiple characters within the “extra options,” then they will also receive the Last Wish Raid Completion at a discount); A chance to obtain the Rare Raid Exotic - One Thousand Voices , which you can only obtain from the Last Wish Raid; Exclusive Last Wish Gear (If you need a specific weapon, then you need to check our raid legendary weapons service and choose a random roll or a roll with a guaranteed perk that you want); Spoils of Conquest; All other Legendary and Exotic loot that drops during the service; Exp for your Season Pass and Artifact.",6.99,,https://skycoach.gg/storage/uploads/products/last-wish1621636594_picture_item.png,Destiny 2,Destiny 2
25,,Finality's Auger,"Buy the Finality's Auger Exotic Linear Fusion Rifle in Destiny 2. It has some unique perks and mechanics like deploying a Ruinscribe Turret which will automatically shoot at nearby targets. You can switch between two firing modes for maximum efficiency and boost your DPS in any endgame activity. With our Finality's Auger farming service, you will get: Finality's Auger on your account guaranteed; Some dungeon weapons and armor; All other Legendary and Exotic loot that might drop during the service; Experience for your Season Pass and Artifact; To get the exotic, our Destiny pro players will farm the dungeon every week until Finality's Auger drops.",36.99,,https://skycoach.gg/storage/uploads/products/finalitys-auger1738855970_picture_item.png,Destiny 2,Destiny 2
26,,Conditional Finality,"Buy Destiny 2 Conditional Finality boost and easily obtain this powerful and unique shotgun. It is a good choice for both PvP and PvP due to its synergy with stasis and solar, as well as its high handling and damage output. Opt for our Conditional Finality boosting now and receive the following: The Conditional Finality Exotic Shotgun obtained on your account; Unique Root of Nightmares Raid Gear; All other Legendary and Exotic loot that might drop during the service; Exp for your Season Pass and Artifact.",31.19,,https://skycoach.gg/storage/uploads/products/conditional-finality1678547386_picture_item.png,Destiny 2,Destiny 2
27,,Master Vow of the Disciple Raid,"Buy Destiny 2 Master Vow of the Disciple boost and get this raid flawlessly completed quickly, guaranteed, and effortlessly! You will get: The Vow of the Disciple Raid Completed on Master Difficulty; Gouging Light Exotic Sparrow Obtained on your Account; A chance to get unique Raid Exotic - Collective Obligation only obtainable from the Vow of the Disciple Raid; Unique Pinnacle Vow of the Disciple Raid gear (Adept Weapons available with the Weekly Master Challenge option); All Legendary and Exotic loot that might drop during the service; Exp for your Season Pass and Artifact.",14.99,,https://skycoach.gg/storage/uploads/products/master-vow-of-the-disciple-raid1650300302_picture_item.png,Destiny 2,Destiny 2
28,,The Root of Nightmares Raid,Full The Root of Nightmares Raid Completed on your character; Unique and Pinnacle Root of Nightmares Raid loot; A chance to obtain brand-new raid exotic - Conditional Finality ; Some Spoils of Conquests; All other Legendary and Exotic loot that might drop during the service; Exp for your Season Pass and Artifact.,6.99,,https://skycoach.gg/storage/uploads/products/the-root-of-nightmares-raid1678641779_picture_item.png,Destiny 2,Destiny 2
29,,Master Root of Nightmares,"Buy Destiny 2 Master Root of Nightmares boost and get this raid flawlessly completed quickly, guaranteed, and effortlessly! You will get: The Root of Nightmares Raid completed on Master Difficulty; Unique and Pinnacle Root of Nightmares Raid loot; A chance to obtain brand-new raid exotic - Conditional Finality ; Some Spoils of Conquests; All other Legendary and Exotic loot that might drop during the service; Exp for your Season Pass and Artifact.",12.99,,https://skycoach.gg/storage/uploads/products/master-root-of-nightmares-free-weekly-challenge1680023731_picture_item.png,Destiny 2,Destiny 2
30,,Master Salvation's Edge + 6 Adept Weapons,Master Salvation's Edge - one full completion; Master Salvation's Edge challenges; Nullify (Adept) Pulse Rifle; Imminence (Adept) Submachine Gun; Non-Denouement (Adept) Bow; Sommum Bonum (Adept) Sword; Critical Anomaly (Adept) Sniper Rifle; Forthcoming Deviance (Adept) Glaive; Some Spoils of Conquest; All Legendary and Exotic Loot that might drop during the service; Exp for your Season Pass and Artifact.,59.99,,https://skycoach.gg/storage/uploads/products/master-salvations-edge-6-adept-weapons1719063978_picture_item.png,Destiny 2,Destiny 2
31,,Flawless Salvation's Edge Raid,"Buy Flawless Salvation's Edge Raid boost in Destiny 2 to obtain a unique shader, weapons, and gear. With our carry service, you will get: A full raid completion without any deaths; The Resonant Cellweave shader; The Flawless - super rare achievement - on raid.report; A chance to get the Euphony Exotic Linear Fusion Rifle; All the loot that drops during the service; Experience for your Season Pass and Artifact. Only the most hardcore Guardians can achieve this Prestige badge. With our Salvation's Edge no deaths carry, you will enjoy the glory of wearing one of the most hard-to-get shaders in the Tower. Show everyone your skill and dedication, and make them envious!",134.99,,https://skycoach.gg/storage/uploads/products/flawless-salvations-edge-raid1718033625_picture_item.png,Destiny 2,Destiny 2
32,,Crota's End Raid,"Buy Destiny 2 Crota's End boost to complete the raid and obtain new weapons and gear. Completing Crota's End is not an easy task, and Master difficulty is one of the biggest challenges in the entire game, but the rewards are too good to skip it entirely. Don't worry, our PRO player will help you tackle the most challenging encounters so you can enjoy the game and obtain rewards. With our Crota's End carry service, you will get the following: Crota's End Raid Completed on your character; All Legendary and Exotic Loot that might drop during the service; Additional experience for your Season Pass and Artifact.",4.89,,https://skycoach.gg/storage/uploads/products/crotas-end-raid1693671157_picture_item.png,Destiny 2,Destiny 2
33,,Atemporal Title,"Buy the Atemporal Title boost in Destiny 2 to become a dedicated and experienced raider. The Desert Perpetual raid holds many secrets, and the Title requires a significant time investment, not even mentioning a reliable Fireteam to run the raid with. With this service, you will get: Full Title, or the selected Triumphs completed The Soloist Ghost Shell for the Feature Presentation Triumph The Mediant Flourish Shader for the Death-Defiant Triumph A lot of the Desert Perpetual weapons and gear All loot that drops during the service Experience for your Season Pass and Artifact Please note: the Feature Presentation and Death-Defiant Triumphs do not grant progress towards the Title. Completing the associated Triumphs requires a lot of skill, time, and dedication. But with our Atemporal Seal boosting service, you can skip the most difficult parts of the challenge.",0.89,,https://skycoach.gg/storage/uploads/products/atemporal-title1752839896_picture_item.png,Destiny 2,Destiny 2
34,,Vex Mythoclast,"Buy Destiny 2 Vex Mythoclast boost on our platform and quickly get one of the most iconic Exotic weapons in the game. Our professional players have many years of experience in the game, so you can be sure that your order will be completed as soon as possible! Opt for our D2 Vex Mythoclast Carry now and receive: The Vex Mythoclast Exotic Fusion Rifle obtained on your Account; All unique Vault of Glass Gear that drops during the service; All other Legendary and Exotic loot that drops during the service; Experience for your Season Pass and Artifact. Additional Options Vex Mythoclast Catalyst - Enable this option to receive a Catalyst for this weapon; Vex Mythoclast Catalyst Masterwork - Enable this option to receive Catalyst Masterwork for this weapon; You can also order other raid Exotics on this page. Namely: + Necrochasm; + Conditional Finality; + Collective Obligation; + Eyes of Tomorrow.",26.99,,https://skycoach.gg/storage/uploads/products/vex-mythoclast1644240175_picture_item.png,Destiny 2,Destiny 2
35,,Antedate Submachine Gun,"Buy Antedate - an Arc Submachine Gun from Destiny 2 The Desert Perpetual raid and enjoy the Skycoach’s fast & safe boosting service. Select the desired weapon Tier and options to let the Pro players know which rolls to target farm. Our boost delivers the weapon straight to your character quickly and securely. What you'll get: The Antedate Submachine Gun on your character. Option to farm multiple drops or optimal perks. Chance to get other raid weapons and armor. All other legendary and exotic loot that drops during the service. Experience for your Episode Pass and Artifact to level up faster. There are significant benefits to buying Antedate at the higher Tiers, so here's a breakdown: Tier 1: Base weapon that supports seasonal mods; Tier 2: Enhanced perks; Tier 3: Two perks to choose from per column;",17.99,,https://skycoach.gg/storage/uploads/products/antedate-submachine-gun1753191971_picture_item.png,Destiny 2,Destiny 2
36,,Vow of the Disciple Raid,The Vow of the Disciple Raid completed on your character A chance to get unique Raid Exotic - Collective Obligation only obtainable from the Vow of the Disciple Raid Unqiue Pinnacle Vow of the Disciple Raid gear All other Legendary and Exotic Loot that might drop during the service Exp for your Season Pass and Artifact,7.99,,https://skycoach.gg/storage/uploads/products/vow-of-the-disciple-raid1647027449_picture_item.png,Destiny 2,Destiny 2
37,,King's Fall Raid,"Buy King's Fall Raid and complete one of the hardest-to-complete raids due to its complex mechanics and multi-phase encounters that require precise execution and tight team coordination. Boss fights, like Oryx and Golgoroth, demand high DPS and strategic planning, while mistakes can lead to quick failure. The raid’s length and difficulty make it especially challenging for less experienced or uncoordinated teams. Our King's Fall Raid service includes: Full King's Fall Raid Completed on your character; All Legendary and Exotic Loot that might drop during the service; Chance to acquire Touch of Malice ; Exp for your Season Pass and Artifact.",6.99,,https://skycoach.gg/storage/uploads/products/kings-fall-raid1661275226_picture_item.png,Destiny 2,Destiny 2
38,,The Desert Perpetual Raid,"Buy Destiny 2 The Desert Perpetual raid boost and get some powerful weapons and gear for your character. This raid is included with The Edge of Fate expansion and presents players with significant challenges, requiring precise teamwork and optimized loadouts. With our Desert Perpetual carry service, you will get: The entire raid or the completion of the last boss A chance to get the raid exotic weapon Unique Emblem for the first completion New raid weapons & armor Experience for your Season Pass and Artifact. If you have the Map and Territory quest with the ""Convergence identified"" step, pick the ""Find 12 Vex Convergences"" option to get the Envoy's Togs shader.",24.89,,https://skycoach.gg/storage/uploads/products/the-desert-perpetual-raid1753192098_picture_item.png,Destiny 2,Destiny 2
39,,Opaque Hourglass Crossbow,"Buy Opaque Hourglass - an Arc Crossbow from Destiny 2 The Desert Perpetual raid and enjoy the Skycoach’s fast & safe boosting service. Select the desired weapon Tier and options to let the Pro players know which rolls to target farm. Our boost delivers the weapon straight to your character quickly and securely. What you'll get: The Opaque Hourglass Crossbow on your character. Option to farm multiple drops or optimal perks. Chance to get other raid weapons and armor. All other legendary and exotic loot that drops during the service. Experience for your Episode Pass and Artifact to level up faster. There are significant benefits to buying Opaque Hourglass at the higher Tiers, so here's a breakdown: Tier 1: Base weapon that supports seasonal mods; Tier 2: Enhanced perks; Tier 3: Two perks to choose from per column;",17.99,,https://skycoach.gg/storage/uploads/products/opaque-hourglass-crossbow1752839870_picture_item.png,Destiny 2,Destiny 2
40,,Flawless Desert Perpetual Raid,"Looking for a cool shader and a way to increase the raid exotic drop chance? Our Destiny 2 Desert Perpetual Flawless raid boost offers you just that, on top with some powerful weapons and gear for your character. With our Flawless Desert Perpetual carry service, you will get: The entire raid completed without any deaths A higher chance to get the raid exotic weapon The Death-Defiant Triumph The Mediant Flourish Shader Some raid weapons & armor Experience for your Season Pass and Artifact",142.99,,https://skycoach.gg/storage/uploads/products/flawless-desert-perpetual-raid1753192041_picture_item.png,Destiny 2,Destiny 2
41,,Epic Desert Perpetual Raid,"Buy the Epic Desert Perpetual raid boost — a more challenging version of the Destiny 2 Edge of Fate raid, now intensified with additional mechanics, modifiers, and unique rewards. Secure Tier-5 weapons and gear, exotic catalyst, and secret Triumphs with reliable carry support, tailored to your preferences. The Contest Mode will launch on September 20. Here's the Contest Mode rewards for the full raid clear: Exclusive Contest emblem Whirling Ovation Exotic + Catalyst Tier 5 weapons and gear What you'll get for non-Contest Epic raid clear: Full clear of the Epic Desert Perpetual Raid Optional Feats to get high-tier gear Armor with unique epic set bonuses Unique raid weapons & armor Experience for your Season Pass and Artifact Please note: without any feats, you will be getting Tier 3 raid gear, no matter your current Power level. Increase your rewards Tier by selecting multiple Feats.",439.99,,https://skycoach.gg/storage/uploads/products/epic-desert-perpetual-raid1755877453_picture_item.png,Destiny 2,Destiny 2
42,,Atemporal Title,"Buy the Atemporal Title boost in Destiny 2 to become a dedicated and experienced raider. The Desert Perpetual raid holds many secrets, and the Title requires a significant time investment, not even mentioning a reliable Fireteam to run the raid with. With this service, you will get: Full Title, or the selected Triumphs completed The Soloist Ghost Shell for the Feature Presentation Triumph The Mediant Flourish Shader for the Death-Defiant Triumph A lot of the Desert Perpetual weapons and gear All loot that drops during the service Experience for your Season Pass and Artifact Please note: the Feature Presentation and Death-Defiant Triumphs do not grant progress towards the Title. Completing the associated Triumphs requires a lot of skill, time, and dedication. But with our Atemporal Seal boosting service, you can skip the most difficult parts of the challenge.",0.89,,https://skycoach.gg/storage/uploads/products/atemporal-title1752839896_picture_item.png,Destiny 2,Destiny 2
43,,Antedate Submachine Gun,"Buy Antedate - an Arc Submachine Gun from Destiny 2 The Desert Perpetual raid and enjoy the Skycoach’s fast & safe boosting service. Select the desired weapon Tier and options to let the Pro players know which rolls to target farm. Our boost delivers the weapon straight to your character quickly and securely. What you'll get: The Antedate Submachine Gun on your character. Option to farm multiple drops or optimal perks. Chance to get other raid weapons and armor. All other legendary and exotic loot that drops during the service. Experience for your Episode Pass and Artifact to level up faster. There are significant benefits to buying Antedate at the higher Tiers, so here's a breakdown: Tier 1: Base weapon that supports seasonal mods; Tier 2: Enhanced perks; Tier 3: Two perks to choose from per column;",17.99,,https://skycoach.gg/storage/uploads/products/antedate-submachine-gun1753191971_picture_item.png,Destiny 2,Destiny 2
